@timestamp,@logStream,ExecutionTime
2026-08-16 10:18:15.318,ecs/fargate-etl-container/b51762f1c06f41c5aae3e197c22aa621,19.7149
2026-08-16 10:18:15.190,ecs/fargate-etl-container/767663be9e654e6b925e1c4a48071320,19.8770
2026-08-16 10:18:15.013,ecs/fargate-etl-container/f73fb83becc04b97875472eee174c40c,19.0852
2026-08-16 10:18:14.413,ecs/fargate-etl-container/c75f5c71e5a341f7aa4d57737ae71849,19.1849
2026-08-16 10:18:14.270,ecs/fargate-etl-container/24392e3309f849ee969760754f82b334,19.0987
2026-08-16 10:18:11.867,ecs/fargate-etl-container/365f22d714214c81a6f08324a62c1917,19.7447
2026-08-16 10:18:11.762,ecs/fargate-etl-container/d00c3ac57b964409bd3d220a60818b68,19.6315
2026-08-16 10:18:11.635,ecs/fargate-etl-container/239cb81be7eb45448dda25e4355ec8a8,19.6442
2026-08-16 10:18:11.438,ecs/fargate-etl-container/2d3300993d744ceeac8c9bf1e4336326,19.2720
2026-08-16 10:18:11.302,ecs/fargate-etl-container/1e4b1625943c47738942f8736c4a209d,19.1964
2026-08-16 10:18:11.231,ecs/fargate-etl-container/769db83798c746bda32e91623f358d6c,19.7352
2026-08-16 10:18:10.138,ecs/fargate-etl-container/1037c9d169da4d718b9611ea17ad5531,19.0694
2026-08-16 10:18:04.997,ecs/fargate-etl-container/332191be51794d2397ecc7c8960768eb,11.7071
2026-08-16 10:18:04.037,ecs/fargate-etl-container/daea26cdaab94db8a9dd4e606174479d,11.7580
2026-08-16 10:18:03.846,ecs/fargate-etl-container/6814e69e79f548279fc726c2b0cfbb83,11.4997
2026-08-16 10:18:01.328,ecs/fargate-etl-container/e6d22f48a0af49d8b599b1735f2c1cbe,11.7855
2026-08-16 10:18:01.244,ecs/fargate-etl-container/eda836eca7c1437584ab11071ab75cde,12.1200
2026-08-16 10:18:01.098,ecs/fargate-etl-container/68d5b153b71049489bb0628dbb7b2cd9,11.6723
2026-08-16 10:18:00.905,ecs/fargate-etl-container/16b67824a1c540ffbbc41691cac0a928,11.5980
2026-08-16 10:18:00.780,ecs/fargate-etl-container/e04cc4a7c0da4eedb4e5dde1f0f3cea6,11.6805
2026-08-16 10:18:00.603,ecs/fargate-etl-container/c1867c70317f4695ae580a812f4e0601,12.0045
2026-08-16 10:18:00.413,ecs/fargate-etl-container/dbfdd8fb669e4352920c1f471e70530f,11.8689
